INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<terrafirmacraftplus:item.Wrought Iron Mace Head>, Wrought Iron Mace Head
<terrafirmacraftplus:item.Wrought Iron Pick>, Wrought Iron Pickaxe
<terrafirmacraftplus:item.Wrought Iron Pick Head>, Wrought Iron Pickaxe Head
<terrafirmacraftplus:item.Wrought Iron ProPick>, Wrought Iron Prospector's Pick
<terrafirmacraftplus:item.Wrought Iron ProPick Head>, Wrought Iron Prospector's Pick Head
<terrafirmacraftplus:item.Wrought Iron Saw>, Wrought Iron Saw
<terrafirmacraftplus:item.Wrought Iron Saw Blade>, Wrought Iron Saw Blade
<terrafirmacraftplus:item.Wrought Iron Scythe>, Wrought Iron Scythe
<terrafirmacraftplus:item.Wrought Iron Scythe Blade>, Wrought Iron Scythe Blade
<terrafirmacraftplus:item.Wrought Iron Sheet>, Wrought Iron Sheet
<terrafirmacraftplus:item.Wrought Iron Shovel>, Wrought Iron Shovel
<terrafirmacraftplus:item.Wrought Iron Shovel Head>, Wrought Iron Shovel Head
<terrafirmacraftplus:item.Wrought Iron Sword>, Wrought Iron Sword
<terrafirmacraftplus:item.Wrought Iron Sword Blade>, Wrought Iron Sword Blade
<terrafirmacraftplus:item.Wrought Iron Trowel>, Wrought Iron Mason's Trowel
<terrafirmacraftplus:item.Wrought Iron Trowel Head>, Wrought Iron Mason's Trowel Head
<terrafirmacraftplus:item.Wrought Iron Tuyere>, Wrought Iron Tuyere
<terrafirmacraftplus:item.Wrought Iron Unfinished Boots>, Unfinished Wrought Iron Boots
<terrafirmacraftplus:item.Wrought Iron Unfinished Chestplate>, Unfinished Wrought Iron Chestplate
<terrafirmacraftplus:item.Wrought Iron Unfinished Greaves>, Unfinished Wrought Iron Greaves
<terrafirmacraftplus:item.Wrought Iron Unfinished Helmet>, Unfinished Wrought Iron Helmet
<terrafirmacraftplus:item.Wrought Iron Unshaped>, Unshaped: Wrought Iron
<terrafirmacraftplus:item.Yellow Bell Pepper>, Yellow Bell Pepper
<terrafirmacraftplus:item.Yew Door>, Yew Door
<terrafirmacraftplus:item.Zinc Double Ingot>, Zinc Double Ingot
<terrafirmacraftplus:item.Zinc Double Sheet>, Zinc Double Sheet
<terrafirmacraftplus:item.Zinc Ingot>, Zinc Ingot
<terrafirmacraftplus:item.Zinc Sheet>, Zinc Sheet
<terrafirmacraftplus:item.Zinc Unshaped>, Unshaped: Zinc
<terrafirmacraftplus:item.arrow>, Arrow
<terrafirmacraftplus:item.blowing horn>, Blowing Horn
<terrafirmacraftplus:item.bootsCloth>, Leather Boots
<terrafirmacraftplus:item.bow>, Bow
<terrafirmacraftplus:item.bugle>, Bugle
<terrafirmacraftplus:item.chestplateCloth>, Leather Tunic
<terrafirmacraftplus:item.clothSling>, Cloth Sling
<terrafirmacraftplus:item.coal>, Coal
<terrafirmacraftplus:item.coconutShell>, Coconut Shell
<terrafirmacraftplus:item.composite_bow>, Composite Bow
<terrafirmacraftplus:item.conch horn>, Conch
<terrafirmacraftplus:item.dyePowder>, Ink Sac
<terrafirmacraftplus:item.egg>, Egg
<terrafirmacraftplus:item.fishingRod>, Fishing Rod
<terrafirmacraftplus:item.flintAndSteel>, Flint and Steel
<terrafirmacraftplus:item.helmetCloth>, Leather Cap
<terrafirmacraftplus:item.horn>, Horn
<terrafirmacraftplus:item.horn strips>, Horn Strips
<terrafirmacraftplus:item.leadBullet>, Lead Bullet
<terrafirmacraftplus:item.leatherSling>, Leather Sling
<terrafirmacraftplus:item.leggingsCloth>, Leather Chaps
<terrafirmacraftplus:item.metalChunk>, Unknown Scrap
<terrafirmacraftplus:item.pitchBag>, Unfinished Waterskin
<terrafirmacraftplus:item.pole>, Pole
<terrafirmacraftplus:item.primitiveSling>, Primitive Sling
<terrafirmacraftplus:item.saddleTFC>, Saddle
<terrafirmacraftplus:item.scallop>, Scallop (Live)
<terrafirmacraftplus:item.seashell>, Seashell
<terrafirmacraftplus:item.shears>, Shears
<terrafirmacraftplus:item.starfish>, Seastar (Live)
<terrafirmacraftplus:item.stick>, Stick
<terrafirmacraftplus:item.unstrung bow>, Unstrung Bow
<terrafirmacraftplus:item.unstrung comp bow>, Unstrung Composite Bow
<terrafirmacraftplus:item.unstrung comp bow2>, Unfinished Composite Bow
<terrafirmacraftplus:leafLitter>, Leaves
<terrafirmacraftplus:leaves>, Oak Leaves
<terrafirmacraftplus:leaves2>, Acacia Leaves
<terrafirmacraftplus:leaves3>, Yew Leaves
<terrafirmacraftplus:log>, Oak Log
<terrafirmacraftplus:log2>, Acacia Log
<terrafirmacraftplus:log3>, Yew Log
<terrafirmacraftplus:lowUndergrowth>, Undergrowth
<terrafirmacraftplus:mudBricks>, Mudbricks
<terrafirmacraftplus:mudBricks2>, Mudbricks
<terrafirmacraftplus:mudStructure>, tile.mudStructure.name
<terrafirmacraftplus:mudStructureBaked>, tile.mudStructure.name
<terrafirmacraftplus:planks>, Oak Planks
<terrafirmacraftplus:planks2>, Acacia Planks
<terrafirmacraftplus:planks3>, Yew Planks
<terrafirmacraftplus:plasteredBlock>, Plaster
<terrafirmacraftplus:sapling>, Oak Sapling
<terrafirmacraftplus:sapling2>, Acacia Sapling
<terrafirmacraftplus:sapling3>, Yew Sapling
<terrafirmacraftplus:shrub>, Shrub
<terrafirmacraftplus:skinnyLog>, tile.skinnyLog.Oak.name
<terrafirmacraftplus:skinnyLog2>, tile.skinnyLog2.Acacia.name
<terrafirmacraftplus:skinnyLog3>, tile.skinnyLog3.Yew.name
<terrafirmacraftplus:slateRoof>, Slate Roof
<terrafirmacraftplus:stoneSlabs>, Slab
<terrafirmacraftplus:stoneStairs>, Stair
<terrafirmacraftplus:stoneStalac>, Stalactite
<terrafirmacraftplus:thatchRoof>, Thatch Roof
<terrafirmacraftplus:tilledSoil>, Farmland
<terrafirmacraftplus:tilledSoil2>, Farmland
<terrafirmacraftplus:undergrowth>, Undergrowth
<terrafirmacraftplus:undergrowthPalm>, Undergrowth
<tfcaths:African_Milk_Barrel>, African Milk Barrel
<tfcaths:African_Milk_Tree>, African Milk Tree
<tfcaths:Agate>, Embedded Agate
<tfcaths:Albanian_Spurge>, Albanian Spurge
<tfcaths:Algae_Mat_Cyanobacteria>, Cyanobacteria
<tfcaths:Algae_Mat_Green>, Green Algae
<tfcaths:Algae_Mat_Red>, Red Algae
<tfcaths:Aloe_Vera>, Aloe Vera
<tfcaths:Amethyst>, Amethyst Crust
<tfcaths:Amethyst_Cluster>, Amethyst Cluster
<tfcaths:Angel_Wing_Cactus>, Angel Wing Cactus
<tfcaths:Angels_Trumpet>, Orange Angel's Trumpet
<tfcaths:Arpophyllum_Giganteum>, Arpophyllum Giganteum
<tfcaths:Artists_Conk>, Artists Conk
<tfcaths:Beefsteak_Fungus>, Beefsteak Fungus
<tfcaths:Beryl>, Beryl Crust
<tfcaths:Beryl_Cluster>, Beryl Cluster
<tfcaths:Birch_Polypore>, Birch Polypore
<tfcaths:Bird_of_Paradise>, Bird of Paradise
<tfcaths:Bitter_Oyster>, Bitter Oyster
<tfcaths:Black_Spleenwort>, Black Spleenwort
<tfcaths:Blood_Lily>, Blood Lily
<tfcaths:Blue_Cereus_Cactus>, Blue Cereus Cactus
<tfcaths:Bluebell>, Bluebell
<tfcaths:Boletus>, Boletus
<tfcaths:Bonatea>, Bonatea
<tfcaths:Boston_Fern>, Boston Fern
<tfcaths:Bracken_Fern>, Bracken
<tfcaths:Bridal_Veil_Stinkhorn>, Bridal Veil Stinkhorn
<tfcaths:Burdock>, Burdock
<tfcaths:Camas_Flower>, Camas Flower
<tfcaths:Caralluma>, Caralluma
<tfcaths:Chaga>, Chaga Fungus
<tfcaths:Chanterelle>, Chanterelle
<tfcaths:Chives>, Chives
<tfcaths:Chlorophos_Foxfire>, Chlorophos Foxfire Mushroom
<tfcaths:Clover>, Clover
<tfcaths:Common_Reeds>, Common Reeds
<tfcaths:Creeping_Charlie>, Creeping Charlie
<tfcaths:Cup_Plant>, Cup Plant
<tfcaths:Cycad>, Male Cycad
<tfcaths:Daffodil>, Daffodil
<tfcaths:Desert_Rose>, Desert Rose
<tfcaths:Devils_Club>, Devil's Club
<tfcaths:Devils_Fingers>, Devil's Fingers Stinkhorn
<tfcaths:Devils_Tongue>, Devil's Tongue Lily
<tfcaths:Diamond>, Diamond Crust
<tfcaths:Diamond_Cluster>, Diamond Cluster
<tfcaths:Dryads_Saddle>, Dryads Saddle
<tfcaths:Duckweed>, Duckweed
<tfcaths:Dune_Grass>, Dune Grass
<tfcaths:Egyptian_Autumn_Crocus>, Egyptian Autumn Crocus
<tfcaths:Elephant_Grass>, Elephant Grass
<tfcaths:Emerald>, Emerald Crust
<tfcaths:Emerald_Cluster>, Emerald Cluster
<tfcaths:Entoloma>, Entoloma
<tfcaths:European_Bedstraw>, European Bedstraw
<tfcaths:Field_Horsetail>, Field Horsetail
<tfcaths:Fireweed>, Fireweed
<tfcaths:Freesia>, Freesia
<tfcaths:Garlic_Mustard>, Garlic Mustard
<tfcaths:Garnet>, Garnet Crust
<tfcaths:Garnet_Cluster>, Garnet Cluster
<tfcaths:Giant_Hogweed>, Giant Hogweed
<tfcaths:Gifboom>, Gifboom
<tfcaths:Gypsum>, Gypsum Crust
<tfcaths:Gypsum_Cluster>, Gypsum Cluster
<tfcaths:Heather>, Pink Heather
<tfcaths:Hedgehog_Lip_Orchid>, Hedgehog Lip Orchid
<tfcaths:Hibiscus>, Hawaiian Hibiscus
<tfcaths:Holly>, Holly
<tfcaths:Hosta_Halcyon>, Halcyon Hosta
<tfcaths:Hosta_Patriot>, Patriot Hosta
<tfcaths:Hosta_Sum_And_Substance>, Sum and Substance Hosta
<tfcaths:Hosta_Vulcan>, Vulcan Hosta
<tfcaths:Indian_Pipe>, Indian Pipes
<tfcaths:Indigo_Milk_Cap>, Indigo Milk Cap
<tfcaths:Iris>, Iris
<tfcaths:Jack_In_The_Pulpit>, Jack in the Pulpit
<tfcaths:Jade>, Embedded Jade
<tfcaths:Jasper>, Embedded Jasper
<tfcaths:Lady_Fern>, Lady Fern
<tfcaths:Lavender>, Lavender
<tfcaths:Leafy_Low_Undergrowth>, Low Leafy Undergrowth
<tfcaths:Leafy_Undergrowth>, Leafy Undergrowth
<tfcaths:Leopard_Orchid>, Leopard Orchid
<tfcaths:Leopard_Orchid_Epiphyte>, Leopard Orchid
<tfcaths:Lily_Pad>, Small Lily Pad
<tfcaths:Lions_Mane>, Lions Mane
<tfcaths:Lobster_Claws>, Lobster_Claws
<tfcaths:Loose_Flowered_Orchid>, Loose Flowered Orchid
<tfcaths:Lotus>, Lotus
<tfcaths:Lupine>, Broadleaf Lupine
<tfcaths:Maidenhair_Fern>, Maidenhair Fern
<tfcaths:Mallow>, Mallow
<tfcaths:Marigold>, Marigold
<tfcaths:Medium_Undergrowth>, Brush
<tfcaths:Mistletoe>, American Mistletoe
<tfcaths:Morel>, Morel
<tfcaths:Narbon_Vetch>, Narbon Vetch
<tfcaths:Ocotillo>, Ocotillo
<tfcaths:Opal>, Embedded Opal
<tfcaths:Organ_Pipe_Cactus>, Organ Pipe Cactus
<tfcaths:Ostrich_Fern>, Ostrich Fern
<tfcaths:Painted_Fern>, Japanese Painted Fern
<tfcaths:Pale_Umbrella_Orchid>, Pale Umbrella Orchid
<tfcaths:Papyrus>, Papyrus
<tfcaths:Periwinkle>, Periwinkle
<tfcaths:Pokeweed>, Pokeweed
<tfcaths:Pond_Grass>, Sedge
<tfcaths:Prairie_Grass>, Prairie Grass
<tfcaths:Prickly_Pear>, Prickly Pear Cactus
<tfcaths:Purpureorachis>, Purpureorachis Orchid
<tfcaths:Quaqua>, Quaqua
<tfcaths:Rafflesia>, Rafflesia
<tfcaths:Reishi>, Reishi
<tfcaths:Rock_Crystal>, Rock Crystal Crust
<tfcaths:Rock_Crystal_Cluster>, Rock Crystal Cluster
<tfcaths:Rosebush>, Rose Bush
<tfcaths:Rough_Horsetail>, Rough Horsetail
<tfcaths:Royal_Jasmine>, Royal Jasmine
<tfcaths:Ruby>, Ruby Crust
<tfcaths:Ruby_Cluster>, Ruby Cluster
<tfcaths:Sagebrush>, Sagebrush
<tfcaths:Saguaro>, Saguaro Cactus
<tfcaths:Saltwort>, Saltwort
<tfcaths:Sapphire>, Sapphire Crust
<tfcaths:Sapphire_Cluster>, Sapphire Cluster
<tfcaths:Saxaul>, Saxaul
<tfcaths:Scaly_Tree_Fern>, Scaly Tree Fern
<tfcaths:Sensitive_Fern>, Sensitive Fern
<tfcaths:Sesame>, Sesame
<tfcaths:Shaggy_Bracket>, Shaggy Bracket
<tfcaths:Shitake>, Shitake
<tfcaths:Snake_Sanseveria>, Snake Sanseveria
<tfcaths:Sorbus>, Sorbus Tree
<tfcaths:Squirrels_Foot_Fern>, Squirrels Foot Fern
<tfcaths:Staghorn_Fern>, Staghorn Fern
<tfcaths:Starfish_Plant>, Starfish Plant
<tfcaths:Sulphur_Shelf>, Chicken of the Woods
<tfcaths:Sumac>, Sumac
<tfcaths:Sundew>, Sundew
<tfcaths:Sunflower>, Sunflower
<tfcaths:Sword_Fern>, Sword Fern
<tfcaths:Sword_Sanseveria>, Sword Sanseveria
<tfcaths:Thistle>, Thistle
<tfcaths:Tillandsia_Bromeliad>, Tillandsia Bromeliad
<tfcaths:Titan_Arum>, Titan Arum
<tfcaths:Topaz>, Topaz Crust
<tfcaths:Topaz_Cluster>, Topaz Cluster
<tfcaths:Tourmaline>, Tourmaline Crust
<tfcaths:Tourmaline_Cluster>, Tourmaline Cluster
<tfcaths:Turkey_Tail>, Turkey Tail
<tfcaths:Venus_Flytrap>, Venus Flytrap
<tfcaths:Victoria_Lily_Pad>, Victoria Lily Pad
<tfcaths:Voodoo_Lily>, Voodoo Lily
<tfcaths:Water_Hyacinth>, Water Hyacinth
<tfcaths:Water_Plantain>, Water Plantain
<tfcaths:Welwitschia>, Male Welwitschia
<tfcaths:Wood_Bitter_Vetch>, Wood Bitter Vetch
<tfcaths:Wood_Fern>, Wood Fern
<tfcaths:Yarrow>, Yarrow
<tfcaths:Young_Acacia>, Young Acacia Tree
<tfcaths:Young_Ash>, Young Ash Tree
<tfcaths:Young_Aspen>, Young Aspen Tree
<tfcaths:Young_Baobab>, Young Baobab Tree
<tfcaths:Young_Birch>, Young Birch Tree
<tfcaths:Young_Chestnut>, Young Chestnut Tree
<tfcaths:Young_Douglas_Fir>, Young Douglas Fir Tree
<tfcaths:Young_Ebony>, Young Ebony Tree
<tfcaths:Young_Fever>, Young Fever Tree
<tfcaths:Young_Ghaf>, Young Ghaf Tree
<tfcaths:Young_Gingko>, Young Gingko Tree
<tfcaths:Young_Hickory>, Young Hickory Tree
<tfcaths:Young_Kapok>, Young Kapok Tree
<tfcaths:Young_Laurel>, Young Laurel Tree
<tfcaths:Young_Limba>, Young Limba Tree
<tfcaths:Young_Mahoe>, Young Mahoe Tree
<tfcaths:Young_Mahogany>, Young Mahogany Tree
<tfcaths:Young_Maple>, Young Maple Tree
<tfcaths:Young_Oak>, Young Oak Tree
<tfcaths:Young_Pine>, Young Pine Tree
<tfcaths:Young_Sequoia>, Young Sequoia Tree
<tfcaths:Young_Spruce>, Young Spruce Tree
<tfcaths:Young_Sycamore>, Young Sycamore Tree
<tfcaths:Young_Teak>, Young Teak Tree
<tfcaths:Young_White_Cedar>, Young White Cedar Tree
<tfcaths:Young_White_Elm>, Young White Elm Tree
<tfcaths:Young_Willow>, Young Willow Tree
<tfcaths:Young_Yew>, Young Yew Tree
<tfcaths:Yucca>, Yucca
<tfcplus-bids:CarvingRock>, tile.CarvingRock.name
<tfcplus-bids:CarvingWood>, tile.CarvingWood.name
<tfcplus-bids:ChoppingBlock>, Chopping Block
<tfcplus-bids:ChoppingBlock2>, Chopping Block
<tfcplus-bids:ChoppingBlock3>, Chopping Block
<tfcplus-bids:ClayCrucible>, Ceramic Crucible
<tfcplus-bids:DryingRack>, Drying Rack
<tfcplus-bids:FireClayCrucible>, Crucible
<tfcplus-bids:LogWallCorner>, Oak Log Wall
<tfcplus-bids:LogWallCorner2>, Acacia Log Wall
<tfcplus-bids:LogWallCorner3>, Yew Log Wall
<tfcplus-bids:LogWallCornerAlt>, Oak Log Wall
<tfcplus-bids:LogWallCornerAlt2>, Acacia Log Wall
<tfcplus-bids:LogWallCornerAlt3>, Yew Log Wall
<tfcplus-bids:LogWallEast>, Oak Log Wall
<tfcplus-bids:LogWallEast2>, Acacia Log Wall
<tfcplus-bids:LogWallEast3>, Yew Log Wall
<tfcplus-bids:LogWallEastAlt>, Oak Log Wall
<tfcplus-bids:LogWallEastAlt2>, Acacia Log Wall
<tfcplus-bids:LogWallEastAlt3>, Yew Log Wall
<tfcplus-bids:LogWallNorth>, Oak Log Wall
<tfcplus-bids:LogWallNorth2>, Acacia Log Wall
<tfcplus-bids:LogWallNorth3>, Yew Log Wall
<tfcplus-bids:LogWallNorthAlt>, Oak Log Wall
<tfcplus-bids:LogWallNorthAlt2>, Acacia Log Wall
<tfcplus-bids:LogWallNorthAlt3>, Yew Log Wall
<tfcplus-bids:MudBrickChimney>, Mudbrick Chimney
<tfcplus-bids:MudBrickChimney2>, Mudbrick Chimney
<tfcplus-bids:NewFirepit>, Firepit
<tfcplus-bids:Quary>, Quarry
<tfcplus-bids:RoughStoneBrickSed>, Rough Shale Bricks
<tfcplus-bids:RoughStoneSed>, Rough Shale
<tfcplus-bids:StackedFirewood>, tile.StackedFirewood.name
<tfcplus-bids:StackedFirewood2>, tile.StackedFirewood2.name
<tfcplus-bids:StackedFirewood3>, tile.StackedFirewood3.name
<tfcplus-bids:TiedStickBundle>, tile.TiedStickBundle.name
<tfcplus-bids:WoodPile>, Wood Pile
<tfcplus-bids:item.Bark>, Oak Bark
<tfcplus-bids:item.Bark Cordage>, Bark Cordage
<tfcplus-bids:item.Bark Fibre>, Bark Fibers
<tfcplus-bids:item.Bark Fibre Kindling>, Bark Fiber Kindling
<tfcplus-bids:item.Bark Fibre Strip>, Bark Fiber Strip
<tfcplus-bids:item.Brass Blowpipe>, Brass Blowpipe
<tfcplus-bids:item.Drinking Glass>, Empty Drinking Glass
<tfcplus-bids:item.Drinking Glass.AgaveJuice>, Glass of Agave Juice
<tfcplus-bids:item.Drinking Glass.AgaveWine>, Glass of Agave Wine
<tfcplus-bids:item.Drinking Glass.AppleJuice>, Glass of Apple Juice
<tfcplus-bids:item.Drinking Glass.Applejack>, Glass of Applejack
<tfcplus-bids:item.Drinking Glass.BarleyWhiskey>, Glass of Barley Whiskey
<tfcplus-bids:item.Drinking Glass.BarleyWine>, Glass of Barley Wine
<tfcplus-bids:item.Drinking Glass.Beer>, Glass of Beer
<tfcplus-bids:item.Drinking Glass.BerryBrandy>, Glass of Berry Brandy
<tfcplus-bids:item.Drinking Glass.BerryJuice>, Glass of Berry Juice
<tfcplus-bids:item.Drinking Glass.BerryWine>, Glass of Berry Wine
<tfcplus-bids:item.Drinking Glass.CaneJuice>, Glass of Cane Juice
<tfcplus-bids:item.Drinking Glass.CaneWine>, Glass of Cane Wine
<tfcplus-bids:item.Drinking Glass.CherryJuice>, Glass of Cherry Juice
<tfcplus-bids:item.Drinking Glass.CoconutJuice>, Glass of Coconut Juice
<tfcplus-bids:item.Drinking Glass.CornBeer>, Glass of Corn Beer
<tfcplus-bids:item.Drinking Glass.CornWhiskey>, Glass of Corn Whiskey
<tfcplus-bids:item.Drinking Glass.CornWine>, Glass of Corn Wine
<tfcplus-bids:item.Drinking Glass.DateBrandy>, Glass of Date Brandy
<tfcplus-bids:item.Drinking Glass.DateJuice>, Glass of Date Juice
<tfcplus-bids:item.Drinking Glass.DateWine>, Glass of Date Wine
<tfcplus-bids:item.Drinking Glass.FigBrandy>, Glass of Fig Brandy
<tfcplus-bids:item.Drinking Glass.FigJuice>, Glass of Fig Juice
<tfcplus-bids:item.Drinking Glass.FigWine>, Glass of Fig Wine
<tfcplus-bids:item.Drinking Glass.FreshWater>, Glass of Water
<tfcplus-bids:item.Drinking Glass.FruitBrandy>, Glass of Cherry Brandy
<tfcplus-bids:item.Drinking Glass.FruitWine>, Glass of Cherry Wine
<tfcplus-bids:item.Drinking Glass.GrapeJuice>, Glass of Grape Juice
<tfcplus-bids:item.Drinking Glass.HoneyBrandy>, Glass of Honey Brandy
<tfcplus-bids:item.Drinking Glass.LemonBrandy>, Glass of Lemon Brandy
<tfcplus-bids:item.Drinking Glass.LemonJuice>, Glass of Lemon Juice
<tfcplus-bids:item.Drinking Glass.LemonWine>, Glass of Lemon Wine
<tfcplus-bids:item.Drinking Glass.Mead>, Glass of Mead
<tfcplus-bids:item.Drinking Glass.Milk>, Glass of Milk
<tfcplus-bids:item.Drinking Glass.OrangeBrandy>, Glass of Orange Brandy
<tfcplus-bids:item.Drinking Glass.OrangeJuice>, Glass of Orange Juice
<tfcplus-bids:item.Drinking Glass.OrangeWine>, Glass of Orange Wine
<tfcplus-bids:item.Drinking Glass.PapayaBrandy>, Glass of Papaya Brandy
<tfcplus-bids:item.Drinking Glass.PapayaJuice>, Glass of Papaya Juice
<tfcplus-bids:item.Drinking Glass.PapayaWine>, Glass of Papaya Wine
<tfcplus-bids:item.Drinking Glass.PeachBrandy>, Glass of Peach Brandy
<tfcplus-bids:item.Drinking Glass.PeachJuice>, Glass of Peach Juice
<tfcplus-bids:item.Drinking Glass.PeachWine>, Glass of Peach Wine
<tfcplus-bids:item.Drinking Glass.PlumBrandy>, Glass of Plum Brandy
<tfcplus-bids:item.Drinking Glass.PlumJuice>, Glass of Plum Juice
<tfcplus-bids:item.Drinking Glass.PlumWine>, Glass of Plum Wine
<tfcplus-bids:item.Drinking Glass.PotatoWine>, Glass of Potato Wine
<tfcplus-bids:item.Drinking Glass.RiceBeer>, Glass of Rice Beer
<tfcplus-bids:item.Drinking Glass.RiceWhiskey>, Glass of Rice Whiskey
<tfcplus-bids:item.Drinking Glass.Rum>, Glass of Rum
<tfcplus-bids:item.Drinking Glass.RyeBeer>, Glass of Rye Beer
<tfcplus-bids:item.Drinking Glass.RyeWhiskey>, Glass of Rye Whiskey
<tfcplus-bids:item.Drinking Glass.RyeWine>, Glass of Rye Wine
<tfcplus-bids:item.Drinking Glass.Sake>, Glass of Sake
<tfcplus-bids:item.Drinking Glass.Shochu>, Glass of Shochu
<tfcplus-bids:item.Drinking Glass.Tequila>, Glass of Tequila
<tfcplus-bids:item.Drinking Glass.Vodka>, Glass of Vodka
<tfcplus-bids:item.Drinking Glass.WheatBeer>, Glass of Wheat Beer
<tfcplus-bids:item.Drinking Glass.WheatWine>, Glass of Wheat Wine
<tfcplus-bids:item.Drinking Glass.Whiskey>, Glass of Whiskey
<tfcplus-bids:item.Drinking Glass.Wine>, Glass of Wine
<tfcplus-bids:item.Firewood>, Oak Firewood
<tfcplus-bids:item.Firewood Seasoned>, Seasoned Oak Firewood
<tfcplus-bids:item.Flat Bark Fibre>, Flat Bark Fiber
<tfcplus-bids:item.Flat Glass>, Flat Glass
<tfcplus-bids:item.Glass Jug>, Empty Glass Jug
<tfcplus-bids:item.Glass Jug.AgaveJuice>, Jug of Agave Juice
<tfcplus-bids:item.Glass Jug.AgaveWine>, Jug of Agave Wine
<tfcplus-bids:item.Glass Jug.AppleJuice>, Jug of Apple Juice
<tfcplus-bids:item.Glass Jug.Applejack>, Jug of Applejack
<tfcplus-bids:item.Glass Jug.BarleyWhiskey>, Jug of Barley Whiskey
<tfcplus-bids:item.Glass Jug.BarleyWine>, Jug of Barley Wine
<tfcplus-bids:item.Glass Jug.Beer>, Jug of Beer
<tfcplus-bids:item.Glass Jug.BerryBrandy>, Jug of Berry Brandy
<tfcplus-bids:item.Glass Jug.BerryJuice>, Jug of Berry Juice
<tfcplus-bids:item.Glass Jug.BerryWine>, Jug of Berry Wine
<tfcplus-bids:item.Glass Jug.CaneJuice>, Jug of Cane Juice
<tfcplus-bids:item.Glass Jug.CaneWine>, Jug of Cane Wine
<tfcplus-bids:item.Glass Jug.CherryJuice>, Jug of Cherry Juice
<tfcplus-bids:item.Glass Jug.CoconutJuice>, Jug of Coconut Juice
<tfcplus-bids:item.Glass Jug.CornBeer>, Jug of Corn Beer
<tfcplus-bids:item.Glass Jug.CornWhiskey>, Jug of Corn Whiskey
<tfcplus-bids:item.Glass Jug.CornWine>, Jug of Corn Wine
<tfcplus-bids:item.Glass Jug.DateBrandy>, Jug of Date Brandy
<tfcplus-bids:item.Glass Jug.DateJuice>, Jug of Date Juice
<tfcplus-bids:item.Glass Jug.DateWine>, Jug of Date Wine
<tfcplus-bids:item.Glass Jug.FigBrandy>, Jug of Fig Brandy
<tfcplus-bids:item.Glass Jug.FigJuice>, Jug of Fig Juice
<tfcplus-bids:item.Glass Jug.FigWine>, Jug of Fig Wine
<tfcplus-bids:item.Glass Jug.FreshWater>, Jug of Water
<tfcplus-bids:item.Glass Jug.FruitBrandy>, Jug of Cherry Brandy
<tfcplus-bids:item.Glass Jug.FruitWine>, Jug of Cherry Wine
<tfcplus-bids:item.Glass Jug.GrapeJuice>, Jug of Grape Juice
<tfcplus-bids:item.Glass Jug.HoneyBrandy>, Jug of Honey Brandy
<tfcplus-bids:item.Glass Jug.LemonBrandy>, Jug of Lemon Brandy
<tfcplus-bids:item.Glass Jug.LemonJuice>, Jug of Lemon Juice
<tfcplus-bids:item.Glass Jug.LemonWine>, Jug of Lemon Wine
<tfcplus-bids:item.Glass Jug.Mead>, Jug of Mead
<tfcplus-bids:item.Glass Jug.Milk>, Jug of Milk
<tfcplus-bids:item.Glass Jug.OrangeBrandy>, Jug of Orange Brandy
<tfcplus-bids:item.Glass Jug.OrangeJuice>, Jug of Orange Juice
<tfcplus-bids:item.Glass Jug.OrangeWine>, Jug of Orange Wine
<tfcplus-bids:item.Glass Jug.PapayaBrandy>, Jug of Papaya Brandy
<tfcplus-bids:item.Glass Jug.PapayaJuice>, Jug of Papaya Juice
<tfcplus-bids:item.Glass Jug.PapayaWine>, Jug of Papaya Wine
<tfcplus-bids:item.Glass Jug.PeachBrandy>, Jug of Peach Brandy
<tfcplus-bids:item.Glass Jug.PeachJuice>, Jug of Peach Juice
<tfcplus-bids:item.Glass Jug.PeachWine>, Jug of Peach Wine
<tfcplus-bids:item.Glass Jug.PlumBrandy>, Jug of Plum Brandy
<tfcplus-bids:item.Glass Jug.PlumJuice>, Jug of Plum Juice
<tfcplus-bids:item.Glass Jug.PlumWine>, Jug of Plum Wine
<tfcplus-bids:item.Glass Jug.PotatoWine>, Jug of Potato Wine
<tfcplus-bids:item.Glass Jug.RiceBeer>, Jug of Rice Beer
<tfcplus-bids:item.Glass Jug.RiceWhiskey>, Jug of Rice Whiskey
<tfcplus-bids:item.Glass Jug.Rum>, Jug of Rum
<tfcplus-bids:item.Glass Jug.RyeBeer>, Jug of Rye Beer
<tfcplus-bids:item.Glass Jug.RyeWhiskey>, Jug of Rye Whiskey
<tfcplus-bids:item.Glass Jug.RyeWine>, Jug of Rye Wine
<tfcplus-bids:item.Glass Jug.Sake>, Jug of Sake
<tfcplus-bids:item.Glass Jug.Shochu>, Jug of Shochu
<tfcplus-bids:item.Glass Jug.Tequila>, Jug of Tequila
<tfcplus-bids:item.Glass Jug.Vodka>, Jug of Vodka
<tfcplus-bids:item.Glass Jug.WheatBeer>, Jug of Wheat Beer
<tfcplus-bids:item.Glass Jug.WheatWine>, Jug of Wheat Wine
<tfcplus-bids:item.Glass Jug.Whiskey>, Jug of Whiskey
<tfcplus-bids:item.Glass Jug.Wine>, Jug of Wine
